timestamp_seconds,frame_idx,face_id,x,y,w,h
83.200000,2496,1,291,95,117,117
83.233333,2497,1,292,98,116,116
83.266667,2498,1,291,99,116,116
83.300000,2499,1,292,99,115,115
83.333333,2500,1,293,99,114,114
83.366667,2501,1,293,100,114,114
83.400000,2502,1,293,100,114,114
83.433333,2503,1,293,99,113,113
83.466667,2504,1,292,98,115,115
83.500000,2505,1,292,97,115,115
83.533333,2506,1,292,97,116,116
83.566667,2507,1,292,98,115,115
83.600000,2508,1,293,98,115,115
83.633333,2509,1,293,98,115,115
83.666667,2510,1,292,98,116,116
83.700000,2511,1,291,98,117,117
83.733333,2512,1,290,98,118,118
83.766667,2513,1,290,97,118,118
83.800000,2514,1,291,98,117,117
83.833333,2515,1,291,99,116,116
83.866667,2516,1,292,100,115,115
83.900000,2517,1,292,100,115,115
83.933333,2518,1,291,99,116,116
83.966667,2519,1,291,99,117,117
84.000000,2520,1,292,99,117,117
84.033333,2521,1,291,98,118,118
84.066667,2522,1,291,97,120,120
84.100000,2523,1,292,96,121,121
84.133333,2524,1,291,95,122,122
84.166667,2525,1,291,95,123,123
84.200000,2526,1,292,95,124,124
84.233333,2527,1,291,95,124,124
84.266667,2528,1,292,95,123,123
84.300000,2529,1,292,95,123,123
84.333333,2530,1,293,97,121,121
84.366667,2531,1,294,97,120,120
84.400000,2532,1,295,97,120,120
84.433333,2533,1,296,97,119,119
84.466667,2534,1,295,98,119,119
84.500000,2535,1,297,98,117,117
84.533333,2536,1,299,99,114,114
84.566667,2537,1,300,99,113,113
84.600000,2538,1,299,98,115,115
84.633333,2539,1,299,97,117,117
84.666667,2540,1,298,97,117,117
84.700000,2541,1,297,96,117,117
84.733333,2542,1,299,96,115,115
84.766667,2543,1,299,95,114,114
84.800000,2544,1,299,95,113,113
84.833333,2545,1,299,95,113,113
84.866667,2546,1,297,93,116,116
84.900000,2547,1,298,94,116,116
84.933333,2548,1,298,95,114,114
84.966667,2549,1,298,96,112,112
85.000000,2550,1,294,93,119,119
85.033333,2551,1,294,95,118,118
85.066667,2552,1,293,96,119,119
85.100000,2553,1,293,96,120,120
85.133333,2554,1,293,96,119,119
85.166667,2555,1,293,96,119,119
85.200000,2556,1,294,96,119,119
85.233333,2557,1,294,96,119,119
85.266667,2558,1,293,94,122,122
85.300000,2559,1,292,94,123,123
85.333333,2560,1,295,95,119,119
85.366667,2561,1,295,93,118,118
85.400000,2562,1,298,94,114,114
85.433333,2563,1,300,94,113,113
85.466667,2564,1,300,94,112,112
