timestamp_seconds,frame_idx,face_id,x,y,w,h,emotion,emotion_score
75.066667,452,1,305,98,112,112,neutral,0.9901
75.100000,453,1,306,98,112,112,neutral,0.9876
75.133333,454,1,306,97,112,112,neutral,0.9891
75.166667,455,1,306,95,112,112,neutral,0.9914
75.200000,456,1,307,95,112,112,neutral,0.9887
75.233333,457,1,307,96,112,112,neutral,0.9863
75.266667,458,1,307,98,112,112,neutral,0.9860
75.300000,459,1,308,99,111,111,neutral,0.9846
75.333333,460,1,309,99,110,110,neutral,0.9840
75.366667,461,1,309,99,109,109,neutral,0.9805
75.400000,462,1,314,102,104,104,neutral,0.9859
75.433333,463,1,315,104,103,103,neutral,0.9832
75.466667,464,1,316,103,104,104,neutral,0.9804
75.500000,465,1,314,102,106,106,neutral,0.9813
75.533333,466,1,313,102,107,107,neutral,0.9808
75.566667,467,1,313,103,106,106,neutral,0.9813
75.600000,468,1,312,104,107,107,neutral,0.9706
75.633333,469,1,312,104,106,106,neutral,0.9710
75.666667,470,1,312,104,106,106,neutral,0.9710
75.700000,471,1,312,103,108,108,neutral,0.9667
75.733333,472,1,311,101,110,110,neutral,0.9774
75.766667,473,1,311,99,111,111,neutral,0.9707
75.800000,474,1,311,98,111,111,neutral,0.9682
75.833333,475,1,310,96,112,112,neutral,0.9705
75.866667,476,1,310,97,112,112,neutral,0.9669
75.900000,477,1,310,96,112,112,neutral,0.9732
75.933333,478,1,311,97,111,111,neutral,0.9709
75.966667,479,1,311,98,111,111,neutral,0.9800
76.000000,480,1,312,98,111,111,neutral,0.9796
76.033333,481,1,312,99,110,110,neutral,0.9810
76.066667,482,1,312,98,109,109,neutral,0.9772
76.100000,483,1,313,98,109,109,neutral,0.9816
76.133333,484,1,314,99,107,107,neutral,0.9855
76.166667,485,1,315,99,105,105,neutral,0.9880
76.200000,486,1,314,99,106,106,neutral,0.9843
76.233333,487,1,314,98,106,106,neutral,0.9868
76.266667,488,1,313,98,107,107,neutral,0.9842
76.300000,489,1,313,98,107,107,neutral,0.9847
76.333333,490,1,314,98,105,105,neutral,0.9844
76.366667,491,1,314,98,105,105,neutral,0.9866
76.400000,492,1,314,98,106,106,neutral,0.9874
76.433333,493,1,314,98,106,106,neutral,0.9852
76.466667,494,1,317,98,104,104,neutral,0.9763
76.500000,495,1,318,100,103,103,neutral,0.9816
76.533333,496,1,317,100,103,103,neutral,0.9802
76.566667,497,1,317,100,103,103,neutral,0.9784
76.600000,498,1,318,101,103,103,neutral,0.9758
76.633333,499,1,317,101,103,103,neutral,0.9740
76.666667,500,1,317,102,102,102,neutral,0.9716
76.700000,501,1,318,102,102,102,neutral,0.9637
76.733333,502,1,319,103,100,100,neutral,0.9643
76.766667,503,1,319,101,101,101,neutral,0.9716
76.800000,504,1,316,100,105,105,neutral,0.9602
76.833333,505,1,316,100,105,105,neutral,0.9604
76.866667,506,1,313,99,107,107,neutral,0.9689
76.900000,507,1,312,99,106,106,neutral,0.9662
76.933333,508,1,313,99,107,107,neutral,0.9628
76.966667,509,1,313,100,106,106,neutral,0.9596
77.000000,510,1,314,100,105,105,neutral,0.9601
77.033333,511,1,314,100,105,105,neutral,0.9487
77.066667,512,1,313,100,106,106,neutral,0.9508
77.100000,513,1,313,99,106,106,neutral,0.9715
77.133333,514,1,311,100,106,106,neutral,0.9624
77.166667,515,1,310,99,107,107,neutral,0.9552
77.200000,516,1,312,101,106,106,neutral,0.9588
77.233333,517,1,313,101,105,105,neutral,0.9694
77.266667,518,1,314,101,104,104,neutral,0.9794
77.300000,519,1,315,101,105,105,neutral,0.9766
77.333333,520,1,315,102,105,105,neutral,0.9674
77.366667,521,1,315,101,105,105,neutral,0.9695
77.400000,522,1,315,101,105,105,neutral,0.9691
77.433333,523,1,315,101,105,105,neutral,0.9668
77.466667,524,1,315,101,105,105,neutral,0.9661
77.500000,525,1,314,101,106,106,neutral,0.9595
77.533333,526,1,313,100,108,108,neutral,0.9603
77.566667,527,1,312,99,109,109,neutral,0.9636
77.600000,528,1,311,99,110,110,neutral,0.9632
