timestamp_seconds,frame_idx,face_id,x,y,w,h,yaw,pitch,eye_away,looking_at_camera
73.733333,412,1,308,101,108,108,0.0,4.3,0.282,1
73.766667,413,1,307,100,109,109,-0.0,4.1,0.332,0
73.800000,414,1,307,100,110,110,0.7,4.3,0.413,0
73.833333,415,1,307,101,109,109,1.0,5.2,0.411,0
73.866667,416,1,307,101,109,109,1.6,5.5,0.423,0
73.900000,417,1,306,100,110,110,2.6,6.0,0.457,0
73.933333,418,1,307,102,109,109,3.3,6.3,0.328,0
73.966667,419,1,306,103,110,110,4.0,7.0,0.311,0
74.000000,420,1,307,105,109,109,5.1,7.4,0.332,0
74.033333,421,1,307,108,107,107,5.5,8.4,0.339,0
74.066667,422,1,308,108,106,106,6.6,7.9,0.343,0
74.100000,423,1,311,110,105,105,7.4,8.6,0.344,0
74.133333,424,1,309,111,105,105,7.1,9.2,0.358,0
74.166667,425,1,309,112,106,106,7.5,9.8,0.301,0
74.200000,426,1,310,111,109,109,7.9,11.8,0.193,1
74.233333,427,1,310,114,109,109,8.0,13.4,0.215,1
74.266667,428,1,310,114,110,110,7.7,13.3,0.346,0
74.300000,429,1,309,114,109,109,7.0,14.2,0.382,0
74.333333,430,1,309,113,111,111,6.6,14.0,0.411,0
